r,sr,st
4.156312e+00,-7.338684e+08,-1.684572e+08
4.174349e+00,-7.314307e+08,-1.708950e+08
4.192385e+00,-7.290244e+08,-1.733012e+08
4.210421e+00,-7.266490e+08,-1.756767e+08
4.228457e+00,-7.243038e+08,-1.780218e+08
4.246493e+00,-7.219885e+08,-1.803371e+08
4.264529e+00,-7.197026e+08,-1.826230e+08
4.282565e+00,-7.174454e+08,-1.848802e+08
4.300601e+00,-7.152166e+08,-1.871090e+08
4.318637e+00,-7.130156e+08,-1.893100e+08
4.336673e+00,-7.108421e+08,-1.914835e+08
4.354709e+00,-7.086956e+08,-1.936301e+08
4.372746e+00,-7.065754e+08,-1.957502e+08
4.390781e+00,-7.044814e+08,-1.978442e+08
4.408818e+00,-7.024130e+08,-1.999126e+08
4.426854e+00,-7.003699e+08,-2.019557e+08
4.444890e+00,-6.983516e+08,-2.039741e+08
4.462926e+00,-6.963577e+08,-2.059679e+08
4.480962e+00,-6.943878e+08,-2.079378e+08
4.498998e+00,-6.924416e+08,-2.098840e+08
4.517034e+00,-6.905186e+08,-2.118070e+08
4.535070e+00,-6.886186e+08,-2.137071e+08
4.553106e+00,-6.867411e+08,-2.155846e+08
4.571142e+00,-6.848857e+08,-2.174399e+08
4.589179e+00,-6.830522e+08,-2.192735e+08
4.607214e+00,-6.812402e+08,-2.210854e+08
4.625250e+00,-6.794493e+08,-2.228763e+08
4.643287e+00,-6.776792e+08,-2.246464e+08
4.661323e+00,-6.759297e+08,-2.263959e+08
4.679359e+00,-6.742004e+08,-2.281252e+08
4.697395e+00,-6.724909e+08,-2.298347e+08
4.715431e+00,-6.708011e+08,-2.315245e+08
4.733467e+00,-6.691304e+08,-2.331952e+08
4.751503e+00,-6.674788e+08,-2.348468e+08
4.769539e+00,-6.658460e+08,-2.364797e+08
4.787575e+00,-6.642314e+08,-2.380942e+08
4.805611e+00,-6.626351e+08,-2.396905e+08
4.823647e+00,-6.610566e+08,-2.412690e+08
4.841683e+00,-6.594957e+08,-2.428299e+08
4.859719e+00,-6.579523e+08,-2.443734e+08
4.877755e+00,-6.564259e+08,-2.458998e+08
4.895792e+00,-6.549162e+08,-2.474094e+08
4.913827e+00,-6.534232e+08,-2.489024e+08
4.931864e+00,-6.519466e+08,-2.503790e+08
4.949900e+00,-6.504860e+08,-2.518396e+08
4.967936e+00,-6.490413e+08,-2.532842e+08
4.985972e+00,-6.476124e+08,-2.547132e+08
5.004008e+00,-6.461988e+08,-2.561268e+08
5.022044e+00,-6.448004e+08,-2.575252e+08
5.040080e+00,-6.434170e+08,-2.589086e+08
5.058116e+00,-6.420484e+08,-2.602772e+08
5.076152e+00,-6.406943e+08,-2.616313e+08
5.094189e+00,-6.393546e+08,-2.629710e+08
5.112225e+00,-6.380291e+08,-2.642965e+08
5.130260e+00,-6.367175e+08,-2.656081e+08
5.148297e+00,-6.354196e+08,-2.669060e+08
5.166333e+00,-6.341354e+08,-2.681902e+08
5.184369e+00,-6.328645e+08,-2.694611e+08
5.202405e+00,-6.316068e+08,-2.707188e+08
5.220441e+00,-6.303621e+08,-2.719635e+08
5.238477e+00,-6.291303e+08,-2.731953e+08
5.256513e+00,-6.279111e+08,-2.744145e+08
5.274549e+00,-6.267044e+08,-2.756212e+08
5.292585e+00,-6.255100e+08,-2.768156e+08
5.310621e+00,-6.243278e+08,-2.779978e+08
5.328657e+00,-6.231576e+08,-2.791681e+08
5.346694e+00,-6.219991e+08,-2.803265e+08
5.364729e+00,-6.208524e+08,-2.814732e+08
5.382765e+00,-6.197171e+08,-2.826085e+08
5.400802e+00,-6.185932e+08,-2.837324e+08
5.418838e+00,-6.174805e+08,-2.848451e+08
5.436873e+00,-6.163789e+08,-2.859468e+08
5.454910e+00,-6.152881e+08,-2.870375e+08
5.472946e+00,-6.142082e+08,-2.881174e+08
5.490982e+00,-6.131388e+08,-2.891868e+08
5.509018e+00,-6.120799e+08,-2.902456e+08
5.527054e+00,-6.110314e+08,-2.912942e+08
5.545090e+00,-6.099932e+08,-2.923324e+08
